epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,182.012,0.35243,0.47025,0.89061,0.82381,0.84615,0.82726,0.6999,0.60569,0.72498,1.14681,0.000226497,0.000226497,0.000226497
87,183.667,0.35041,0.42155,0.88138,0.85348,0.84615,0.82234,0.6819,0.61461,0.73279,1.1532,0.000212349,0.000212349,0.000212349
88,186.328,0.38782,0.46244,0.90846,0.85721,0.84615,0.82106,0.68768,0.63643,0.76682,1.17113,0.000198202,0.000198202,0.000198202
89,188.179,0.38036,0.45905,0.91911,0.82646,0.87179,0.81834,0.69015,0.63171,0.76305,1.16988,0.000184055,0.000184055,0.000184055
90,189.919,0.38228,0.47186,0.89159,0.82936,0.87179,0.81736,0.69537,0.62226,0.75463,1.17376,0.000169908,0.000169908,0.000169908
91,193.453,0.29322,0.61996,0.87815,0.8262,0.87061,0.82101,0.70241,0.62268,0.76423,1.17419,0.000155761,0.000155761,0.000155761
92,195.474,0.29053,0.57485,0.87562,0.80054,0.87179,0.81983,0.70323,0.63467,0.78913,1.18496,0.000141614,0.000141614,0.000141614
93,197.1,0.32117,0.5578,0.89113,0.81167,0.86839,0.81638,0.69603,0.64342,0.79672,1.19665,0.000127467,0.000127467,0.000127467
94,199.451,0.29307,0.51521,0.86419,0.81811,0.84393,0.80807,0.70255,0.65349,0.8306,1.20157,0.00011332,0.00011332,0.00011332
95,201.081,0.27445,0.48652,0.84814,0.81383,0.83878,0.79835,0.70044,0.67791,0.88296,1.217,9.91726e-05,9.91726e-05,9.91726e-05
96,202.739,0.31328,0.53651,0.84494,0.86413,0.84615,0.80202,0.69756,0.66482,0.87657,1.21162,8.50255e-05,8.50255e-05,8.50255e-05
97,204.294,0.28586,0.5222,0.87724,0.85853,0.84615,0.79503,0.69777,0.66435,0.86003,1.22042,7.08784e-05,7.08784e-05,7.08784e-05
98,205.865,0.28238,0.50403,0.88091,0.85414,0.84615,0.8017,0.71036,0.66286,0.85379,1.21548,5.67313e-05,5.67313e-05,5.67313e-05
99,207.407,0.2695,0.47659,0.84974,0.85405,0.84615,0.81156,0.72015,0.6597,0.84752,1.21152,4.25842e-05,4.25842e-05,4.25842e-05
100,208.998,0.25962,0.46818,0.8394,0.85457,0.84615,0.80567,0.71567,0.65637,0.83113,1.21612,2.84371e-05,2.84371e-05,2.84371e-05
